Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Algeria,DZA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.09078657627106,-1.09974193572998,-0.919614315032959,-0.842107713222504,-1.05585384368896,-0.847820401191711,-0.992457151412964,-0.650652348995209,-0.577885270118713
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.50538581609726,-0.321580082178116,-0.387895494699478,-0.347208589315414,-0.368411600589752,-0.599917888641357,-0.710480749607086,-0.630108535289764,-0.34150505065918
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.733916640281677,-0.808908820152283,-0.751901030540466,-0.711399376392365,-0.693411469459534,-0.852253794670105,-0.837823569774628,-0.922807276248932,-0.730753898620605
Belarus,BLR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.110905699431896,0.135706260800362,-0.0572087056934834,0.353592693805695,0.344978094100952,-0.887615978717804,-0.754245579242706,-0.802096605300903,-0.729365646839142
Djibouti,DJI,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.447671920061111,-0.628553986549377,-0.733945071697235,-0.133426666259766,-0.343388050794601,-0.44820237159729,-0.566324710845947,-0.507386088371277,-0.516700983047485
"Egypt, Arab Rep.",EGY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.49933218955994,-1.43972682952881,-1.42964589595795,-1.18812155723572,-1.12463080883026,-1.18193280696869,-1.0328643321991,-0.978700578212738,-0.866764307022095
Ethiopia,ETH,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.49694204330444,-1.61724519729614,-1.67723059654236,-1.27460920810699,-1.30376279354095,-1.75370299816132,-2.18383121490479,-2.07060623168945,-1.96956777572632
Georgia,GEO,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.472153753042221,-0.320115089416504,-0.375214755535126,-0.447562873363495,-0.498171955347061,-0.429610639810562,-0.429620236158371,-0.43653005361557,-0.335554122924805
Hungary,HUN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.737792491912842,0.64338093996048,0.796200513839722,0.737591445446014,0.761921286582947,0.83704686164856,0.798591256141663,0.678676307201385,0.731891810894012
Indonesia,IDN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.619956314563751,-0.379699736833572,-0.504938721656799,-0.552034020423889,-0.502143025398254,-0.462311387062073,-0.531449198722839,-0.553894221782684,-0.404375314712524
Iraq,IRQ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.25077962875366,-2.30333304405212,-2.29594969749451,-2.52111387252808,-2.60927772521973,-2.47476959228516,-2.38469409942627,-2.40930914878845,-2.41309809684753
"Iran, Islamic Rep.",IRN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.924846887588501,-0.81402063369751,-0.933828890323639,-1.34218072891235,-1.71153402328491,-1.69920635223389,-1.5844532251358,-1.62561237812042,-1.6941009759903
Kazakhstan,KAZ,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.0383530743420124,0.0014629734214395,0.0243496801704168,-0.0524022579193115,-0.168037340044975,-0.257566839456558,-0.232230722904205,-0.4683538377285,-0.27334600687027
Kuwait,KWT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.219549298286438,-0.0565007105469704,-0.0512290969491005,0.0906421020627022,0.175173386931419,0.225232258439064,0.263065904378891,0.291892021894455,0.408179193735123
Libya,LBY,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.18965125083923,-2.27473783493042,-2.35357618331909,-2.43511581420898,-2.56589818000793,-2.46235728263855,-2.30847406387329,-2.19370174407959,-2.1680154800415
Malaysia,MYS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.25394731760025,0.129485934972763,0.111209630966187,0.248113676905632,0.14648012816906,0.125864699482918,0.0595565475523472,0.163117811083794,0.16851469874382
Nigeria,NGA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.92170512676239,-1.87388896942139,-1.99671792984009,-2.09752702713013,-1.93315482139587,-1.89201462268829,-1.78738462924957,-1.77890145778656,-1.7684383392334
Oman,OMN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7780522108078,0.749765634536743,0.749312877655029,0.642200529575348,0.589256703853607,0.419779539108276,0.431985288858414,0.532249212265015,0.586623668670654
Pakistan,PAK,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.47188353538513,-2.47387385368347,-2.39691209793091,-2.25401329994202,-2.25174307823181,-1.7926949262619,-1.71373546123505,-1.83982634544373,-1.93273079395294
Poland,POL,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.862319052219391,0.496157646179199,0.509756147861481,0.480488687753677,0.550716519355774,0.491619497537613,0.49190354347229,0.505146443843842,0.559584558010101
Qatar,QAT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.983597457408905,0.884123742580414,0.647983014583588,0.649448752403259,0.684370100498199,0.669606029987335,0.833391726016998,0.960249304771423,0.993381142616272
Russian Federation,RUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-1.03222346305847,-0.947688162326813,-0.642759621143341,-0.538330912590027,-0.551088750362396,-0.667407393455505,-0.707898318767548,-1.00599670410156,-1.13433384895325
Saudi Arabia,SAU,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.634387195110321,-0.472771108150482,-0.649625718593597,-0.660987615585327,-0.6240473985672,-0.650637805461884,-0.592355370521545,-0.355806291103363,-0.213224530220032
Singapore,SGP,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.29889214038849,1.47746896743774,1.59912502765656,1.46825659275055,1.48045420646667,1.43851101398468,1.44250547885895,1.44037234783173,1.42420423030853
Somalia,SOM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.37008881568909,-2.34715795516968,-2.24991130828857,-2.24911570549011,-2.38640308380127,-2.58146929740906,-2.72733855247498,-2.42969608306885,-2.37760090827942
South Sudan,SSD,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.37200832366943,-2.41249680519104,-2.44623708724976,-2.43470644950867,-2.51846766471863,-2.19173645973206,-2.28732800483704,-2.21309995651245,-2.18610787391663
Sudan,SDN,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-2.15515303611755,-2.33110570907593,-1.97152543067932,-1.8218629360199,-1.69626581668854,-1.65710651874542,-1.98767411708832,-2.0769202709198,-2.46693897247314
